id,molecule_chembl_id,MW,LogP,NumHDonors,NumHAcceptors,Druglikeness
341,CHEMBL94059,322.40800000000013,4.118800000000004,0.0,4.0,1.0
342,CHEMBL132531,351.45000000000016,3.9750200000000033,1.0,4.0,1.0
343,CHEMBL132285,394.5190000000002,3.728200000000003,1.0,5.0,1.0
344,CHEMBL433379,334.4630000000001,4.981020000000005,0.0,3.0,1.0
345,CHEMBL129837,379.5040000000001,4.7900000000000045,1.0,4.0,1.0
346,CHEMBL328102,336.50400000000013,5.141100000000005,0.0,3.0,0.0
347,CHEMBL130458,351.4500000000001,3.9750200000000033,1.0,4.0,1.0
348,CHEMBL92775,345.44600000000014,4.544280000000004,0.0,4.0,1.0
349,CHEMBL92736,377.48800000000006,4.631000000000004,1.0,4.0,1.0
350,CHEMBL91291,348.4900000000002,5.289440000000005,0.0,3.0,0.0
351,CHEMBL413765,344.4990000000002,4.263300000000004,1.0,3.0,1.0
352,CHEMBL359198,344.4990000000002,4.263300000000004,1.0,3.0,1.0
353,CHEMBL609671,317433.0,2.9442000000000013,1.0,4.0,0.0
354,CHEMBL609672,303406.0,2.552500000000001,1.0,4.0,0.0
355,CHEMBL612098,317433.0,2.896300000000001,0.0,4.0,0.0
356,CHEMBL612099,408.5020000000002,3.3961000000000023,1.0,5.0,1.0
357,CHEMBL612100,351.45000000000005,3.3443000000000023,1.0,4.0,1.0
358,CHEMBL539109,290.38699999999994,1.9185,1.0,3.0,1.0
359,CHEMBL609409,371.8680000000001,4.320000000000003,1.0,4.0,1.0
360,CHEMBL609149,289.379,2.1161000000000003,0.0,4.0,1.0
361,CHEMBL609150,373.54100000000017,4.504600000000004,1.0,4.0,1.0
362,CHEMBL140020,406.6140000000001,5.3269000000000055,0.0,1.0,0.0
